external_gene_name	ensembl_transcript_id	mmusculus_homolog_associated_gene_name
CAPN9	ENST00000271971	Capn9
RNA5SP79	ENST00000365193	
AL118511.2	ENST00000436739	
C1orf198	ENST00000366663	2310022B05Rik
AL118511.1	ENST00000671303	
RN7SL837P	ENST00000463010	
TTC13	ENST00000366661	Ttc13
ARV1	ENST00000310256	Arv1
FAM89A	ENST00000366654	Fam89a
AL732414.1	ENST00000413346	
AL109810.1	ENST00000435008	
TRIM67	ENST00000366653	Trim67
C1orf131	ENST00000366649	2810004N23Rik
GNPAT	ENST00000366647	Gnpat
RNA5SP80	ENST00000410475	
EXOC8	ENST00000366645	Exoc8
SPRTN	ENST00000295050	Sprtn
EGLN1	ENST00000366641	Egln1
SNRPD2P2	ENST00000473818	
AL445524.1	ENST00000654602	
TSNAX	ENST00000366639	Tsnax
TSNAX-DISC1	ENST00000602956	
LINC00582	ENST00000448058	
DISC1	ENST00000366636	Disc1
RNU5A-5P	ENST00000411054	
DISC1-IT1	ENST00000456782	
AL353052.1	ENST00000428673	
AL353052.2	ENST00000441459	
BX323014.1	ENST00000412876	
RN7SL299P	ENST00000464573	
SIPA1L2	ENST00000366630	Sipa1l2
RNU6-1211P	ENST00000459179	
LINC01745	ENST00000430921	
LINC01744	ENST00000457698	
MAP10	ENST00000418460	Map10
RNU1-74P	ENST00000384108	Gm23727
AL122003.1	ENST00000435206	
NTPCR	ENST00000366628	Ntpcr
PCNX2	ENST00000258229	Pcnx2
RPS7P3	ENST00000443360	
AL133380.1	ENST00000506013	
MAP3K21	ENST00000366624	Map3k21
RNU4-77P	ENST00000516692	
KCNK1	ENST00000366621	Kcnk1
MIR4427	ENST00000585213	
AL663058.1	ENST00000453379	
SLC35F3	ENST00000366618	Slc35f3
RAC1P7	ENST00000445367	
AL122008.3	ENST00000412483	
AL122008.1	ENST00000456078	
AL122008.4	ENST00000446433	
AL122008.2	ENST00000412915	
MIR4671	ENST00000583284	
AL355472.1	ENST00000422958	
AL355472.2	ENST00000425104	
COA6-AS1	ENST00000451795	
COA6	ENST00000619305	Coa6
TARBP1	ENST00000040877	Tarbp1
LINC01354	ENST00000653353	
AL161640.1	ENST00000429507	
U8	ENST00000390842	
IRF2BP2	ENST00000366609	Irf2bp2
AL160408.2	ENST00000436039	
LINC00184	ENST00000429269	
AL160408.5	ENST00000607759	
AL160408.1	ENST00000664534	
AL160408.4	ENST00000441360	
AL160408.3	ENST00000442382	
LINC01132	ENST00000641214	
RNY4P16	ENST00000364768	
RN7SL668P	ENST00000493933	
AL391832.1	ENST00000423963	
AL391832.2	ENST00000652109	
AL391832.3	ENST00000549744	
AL732292.1	ENST00000426692	
TOMM20	ENST00000366607	Tomm20
SNORA14B	ENST00000384452	Gm26397
RBM34	ENST00000408888	Rbm34
ARID4B	ENST00000264183	Arid4b
MIR4753	ENST00000585119	
RPL23AP23	ENST00000452590	
GGPS1	ENST00000358966	Ggps1
AL391994.1	ENST00000254724	
AL357556.1	ENST00000421884	
RPS21P1	ENST00000434479	
B3GALNT2	ENST00000366600	B3galnt2
MTCYBP14	ENST00000457471	
MTND6P14	ENST00000433044	
MTND5P19	ENST00000424872	
MTND4P10	ENST00000446199	
MTND4LP21	ENST00000415303	
MTND3P8	ENST00000412909	
MTCO3P46	ENST00000425787	
GNG4	ENST00000450593	Gng4
FO393422.1	ENST00000603908	
AL583844.1	ENST00000424229	
LYST	ENST00000389793	Lyst
LDHAP2	ENST00000437325	
LYST-AS1	ENST00000412098	
MIR1537	ENST00000410899	
RNU6-968P	ENST00000384076	Gm23140
AL139161.1	ENST00000438371	
LINC02768	ENST00000443207	
NID1	ENST00000264187	Nid1
Y_RNA	ENST00000517013	
AL122018.1	ENST00000446607	
GPR137B	ENST00000366592	Gpr137b
ERO1B	ENST00000354619	Ero1lb
RNU2-70P	ENST00000410718	Gm26108
AL450309.1	ENST00000423792	
EDARADD	ENST00000359362	Edaradd
ENO1P1	ENST00000366587	
LGALS8	ENST00000526589	Lgals8
LGALS8-AS1	ENST00000487567	
AL359921.1	ENST00000433131	
HEATR1	ENST00000366582	Heatr1
ACTN2	ENST00000366578	Actn2
MTR	ENST00000366577	Mtr
RPSAP21	ENST00000414293	
RPL35P1	ENST00000450819	
MT1HL1	ENST00000464121	
RYR2	ENST00000360064	Ryr2
RN7SKP195	ENST00000516587	
MIR4428	ENST00000584884	
AL442065.1	ENST00000516481	
AL359924.1	ENST00000450451	
ZP4	ENST00000611898	
AL590396.1	ENST00000450208	
MTRNR2L11	ENST00000604646	
MTCYBP15	ENST00000433123	
MTND6P15	ENST00000441157	
MTND5P18	ENST00000445624	
YWHAQP9	ENST00000445891	
AL356010.2	ENST00000665394	
AL356010.1	ENST00000456364	
RNU6-725P	ENST00000516562	
LINC01139	ENST00000649385	
AL359551.1	ENST00000442726	
KRT18P32	ENST00000424695	
MIPEPP2	ENST00000422560	
AL590135.1	ENST00000422215	
AC093426.1	ENST00000561926	
CHRM3	ENST00000255380	Chrm3
CHRM3-AS2	ENST00000628573	
CHRM3-AS1	ENST00000444721	
AL356361.2	ENST00000430542	
AL356361.1	ENST00000400943	
RPS7P5	ENST00000441482	
FMN2	ENST00000319653	Fmn2
AL359918.2	ENST00000451892	
AL359918.1	ENST00000365171	
ADH5P3	ENST00000433842	
AL359918.3	ENST00000412311	
Y_RNA	ENST00000516508	
AL590490.1	ENST00000455599	
GREM2	ENST00000318160	Grem2
AL358176.1	ENST00000457477	
AL358176.2	ENST00000425769	
AL358176.4	ENST00000428891	
AL358176.3	ENST00000420757	
RNU5F-8P	ENST00000515941	
AL358176.5	ENST00000442611	
AL590965.1	ENST00000362371	
AL365184.2	ENST00000431139	
AL365184.1	ENST00000653456	
THAP12P8	ENST00000447914	
RGS7	ENST00000366563	Rgs7
RFKP1	ENST00000400940	
HNRNPA1P42	ENST00000458678	
AL590682.1	ENST00000437248	
MIR3123	ENST00000583417	
AL592076.1	ENST00000424448	
FH	ENST00000366560	Fh1
KMO	ENST00000366559	Kmo
OPN3	ENST00000366554	Opn3
CHML	ENST00000366553	Chml
WDR64	ENST00000366552	Wdr64
AL365366.1	ENST00000414898	
EXO1	ENST00000366548	Exo1
RPL23AP20	ENST00000447965	
BECN2	ENST00000419583	Gm38100
CFL1P4	ENST00000451536	
MAP1LC3C	ENST00000357246	
TUBB8P6	ENST00000436895	
PLD5	ENST00000536534	Pld5
RN7SKP12	ENST00000516275	
AL591686.1	ENST00000421878	
AL360271.2	ENST00000447710	
RPL10AP5	ENST00000427498	
AL360271.1	ENST00000395679	
AC099785.1	ENST00000605697	
RSL24D1P4	ENST00000400938	
AL445675.1	ENST00000603868	
AL603825.1	ENST00000438481	
AL606534.3	ENST00000427176	
SEPTIN14P21	ENST00000436756	
AL606534.4	ENST00000517560	
LINC01347	ENST00000627498	
RNU6-747P	ENST00000390928	
CEP170	ENST00000366542	Cep170
AL606534.1	ENST00000439562	
AL606534.2	ENST00000437499	
SDCCAG8	ENST00000366541	Sdccag8
FCF1P7	ENST00000451185	
MIR4677	ENST00000584153	
AKT3	ENST00000673466	Akt3
AL591721.1	ENST00000439849	
FABP7P1	ENST00000424004	
AL662889.1	ENST00000453572	
AKT3-IT1	ENST00000417120	
LINC02774	ENST00000440494	
ZBTB18	ENST00000358704	Zbtb18
AL590483.1	ENST00000441338	
RN7SL148P	ENST00000467120	
AL590483.2	ENST00000440148	
C1orf100	ENST00000308105	1700016C15Rik
AL645465.1	ENST00000417765	
TGIF2P1	ENST00000435390	
ADSS2	ENST00000366535	Adss
CATSPERE	ENST00000366534	Catspere1
CYCSP5	ENST00000415043	
DESI2	ENST00000302550	Desi2
AL451007.1	ENST00000595491	
COX20	ENST00000411948	Cox20
HNRNPU	ENST00000444376	Hnrnpu
RN7SKP55	ENST00000364888	
RNU6-947P	ENST00000516264	Gm23545
AL356512.1	ENST00000607453	
EFCAB2	ENST00000366523	Efcab2
RNU6-1089P	ENST00000516473	
RNU6-999P	ENST00000515945	
AL589763.1	ENST00000412257	
RNU1-132P	ENST00000364300	
KIF26B	ENST00000407071	Kif26b
KIF26B-AS1	ENST00000446321	
DNAJC19P8	ENST00000452887	
AC104462.2	ENST00000418402	
AC104462.1	ENST00000414565	
SMYD3	ENST00000490107	Smyd3
AC118555.1	ENST00000426386	
AC092801.1	ENST00000651181	
CHCHD4P5	ENST00000436684	
RNU6-1283P	ENST00000365314	
SMYD3-IT1	ENST00000426929	
Y_RNA	ENST00000384596	
AL356583.1	ENST00000398739	
LINC01743	ENST00000366308	
AL356583.3	ENST00000412354	
AL356583.2	ENST00000426536	
TFB2M	ENST00000366514	Tfb2m
CNST	ENST00000366513	Cnst
AL591623.1	ENST00000417786	
AL591623.2	ENST00000449978	
AL591848.3	ENST00000570141	
AL591848.2	ENST00000442712	
SCCPDH	ENST00000366510	Sccpdh
AL591848.1	ENST00000413092	
KIF28P	ENST00000504864	
AL591848.4	ENST00000567832	
LINC01341	ENST00000421003	
AC113174.1	ENST00000433897	
AC113174.2	ENST00000516202	
AHCTF1	ENST00000326225	Ahctf1
ZNF695	ENST00000339986	Zfp738
ZNF695	ENST00000339986	Zfp953
ZNF695	ENST00000339986	Zfp595
ZNF695	ENST00000339986	Gm49345
ZNF695	ENST00000339986	Zfp457
ZNF670-ZNF695	ENST00000465049	
AL512637.2	ENST00000431287	
AL512637.1	ENST00000439523	
AL627095.1	ENST00000414775	
ZNF669	ENST00000343381	Zfp78
C1orf229	ENST00000623686	
FGFR3P6	ENST00000457012	
ZNF124	ENST00000543802	Zfp78
AL390728.3	ENST00000452704	
AL390728.2	ENST00000400933	
AL390728.6	ENST00000566446	
AL390728.4	ENST00000421406	
RNA5SP82	ENST00000516707	
AL390728.5	ENST00000428687	
AL390728.1	ENST00000397642	
VN1R17P	ENST00000472048	
AC104335.1	ENST00000365209	
ZNF496	ENST00000294753	Zkscan17
NLRP3	ENST00000391828	Nlrp3
OR2B11	ENST00000641527	Olfr222
OR2W5	ENST00000641857	
GCSAML	ENST00000536561	
OR2C3	ENST00000641802	
AL606804.1	ENST00000435333	
OR2G2	ENST00000320065	
OR2G3	ENST00000320002	
OR14L1P	ENST00000641545	
AL390860.1	ENST00000662798	
OR3D1P	ENST00000438288	
OR13G1	ENST00000642119	Olfr309
OR6F1	ENST00000641470	Olfr308
AC118470.1	ENST00000419891	
OR14A2	ENST00000366485	Olfr298
OR14A2	ENST00000366485	Olfr307
OR14A2	ENST00000366485	Olfr294
OR14A2	ENST00000366485	Olfr305
OR14A2	ENST00000366485	Olfr304
OR14K1	ENST00000283225	
OR1C1	ENST00000641256	
OR9H1P	ENST00000446393	Olfr466
OR14A16	ENST00000641093	
HSD17B7P1	ENST00000412419	
OR6R1P	ENST00000431838	
OR11L1	ENST00000355784	Olfr323
TRIM58	ENST00000366481	Trim58
OR2W3	ENST00000360358	Olfr317
OR2W3	ENST00000360358	Olfr322
OR2T8	ENST00000641945	Olfr314
OR2AJ1	ENST00000318244	Olfr170
OR2AJ1	ENST00000318244	Olfr169
OR2AJ1	ENST00000318244	Olfr171
CLK3P2	ENST00000427566	
OR2X1P	ENST00000421144	
OR2L9P	ENST00000444456	
OR2L1P	ENST00000641567	
Y_RNA	ENST00000362572	
OR2L6P	ENST00000416377	
OR2L5	ENST00000355281	Olfr167
Y_RNA	ENST00000363215	
OR2L2	ENST00000642011	Olfr167
Y_RNA	ENST00000364112	
OR2L3	ENST00000641649	Olfr167
OR2T32P	ENST00000642003	
OR2L13	ENST00000641893	Olfr166
OR2L13	ENST00000641893	Olfr168
OR2M1P	ENST00000318104	
OR2M5	ENST00000366476	
OR2M2	ENST00000641836	
OR2M3	ENST00000641626	
OR2M4	ENST00000641868	
OR2T33	ENST00000641220	Olfr314
OR2T12	ENST00000641276	Olfr314
OR2M7	ENST00000317965	
OR14C36	ENST00000317861	Olfr300-ps1
OR14C36	ENST00000317861	Olfr295
OR14C36	ENST00000317861	Olfr297
OR14C36	ENST00000317861	Olfr310
OR14C36	ENST00000317861	Olfr301
OR14C36	ENST00000317861	Olfr292
OR14C36	ENST00000317861	Olfr293
OR14C36	ENST00000317861	Olfr299
OR2T4	ENST00000366475	Olfr325
OR2T4	ENST00000366475	Olfr331
OR2T4	ENST00000366475	Olfr329
OR2T4	ENST00000366475	Olfr330
OR2T4	ENST00000366475	Olfr224
OR2T4	ENST00000366475	Olfr328
OR2T6	ENST00000641644	Olfr720
OR2T1	ENST00000642005	Olfr31
OR2T7	ENST00000641557	
OR2T2	ENST00000642130	Olfr721-ps1
OR2T3	ENST00000359594	
AC138089.1	ENST00000450847	
OR2T5	ENST00000641363	Olfr325
OR2T5	ENST00000641363	Olfr331
OR2T5	ENST00000641363	Olfr329
OR2T5	ENST00000641363	Olfr330
OR2T5	ENST00000641363	Olfr224
OR2T5	ENST00000641363	Olfr328
OR2AS2P	ENST00000606902	
OR2G6	ENST00000641804	
AC098483.1	ENST00000666951	
OR2AS1P	ENST00000427827	
OR2T29	ENST00000641069	Olfr325
OR2T29	ENST00000641069	Olfr331
OR2T29	ENST00000641069	Olfr329
OR2T29	ENST00000641069	Olfr330
OR2T29	ENST00000641069	Olfr224
OR2T29	ENST00000641069	Olfr328
OR2T34	ENST00000328782	
OR2T10	ENST00000642090	
Y_RNA	ENST00000364732	
AC098483.2	ENST00000603158	
OR2T35	ENST00000641268	Olfr721-ps1
OR2T27	ENST00000641652	
LYPD8	ENST00000590317	Lypd8
OR14I1	ENST00000342623	Olfr1350
OR14I1	ENST00000342623	Olfr312
OR14I1	ENST00000342623	Olfr311
OR14I1	ENST00000342623	Olfr313
LYPD9P	ENST00000611154	
AHCYP8	ENST00000425108	
DPY19L4P1	ENST00000427780	
SH3BP5L	ENST00000366472	Sh3bp5l
MIR3124	ENST00000582636	
ZNF672	ENST00000306562	Zfp672
ZNF692	ENST00000306601	Zfp692
AL672291.1	ENST00000417047	
PGBD2	ENST00000329291	
RNU6-1205P	ENST00000363625	
RPL23AP25	ENST00000430973	
NBPF7	ENST00000445758	
REG4	ENST00000354219	Reg4
HMGCS2	ENST00000369406	Hmgcs2
PHGDH	ENST00000641597	Phgdh
GAPDHP33	ENST00000443168	
LINC00622	ENST00000562811	
HSD3BP5	ENST00000434856	
ZNF697	ENST00000421812	Zfp697
HSD3BP4	ENST00000511509	
RPL6P2	ENST00000425480	
AL359915.1	ENST00000660871	
LINC01780	ENST00000457683	
RNU1-75P	ENST00000347264	Gm24251
HAO2	ENST00000622548	Hao2
HAO2-IT1	ENST00000419144	
HSD3B2	ENST00000543831	
GAPDHP74	ENST00000632456	
HSD3BP2	ENST00000457615	
GAPDHP23	ENST00000444823	
HSD3BP1	ENST00000286193	
GAPDHP58	ENST00000438477	
HSD3B1	ENST00000369413	
GAPDHP32	ENST00000433816	
HSD3BP3	ENST00000514706	
GAPDHP27	ENST00000447427	
WARS2-AS1	ENST00000418015	
RPS3AP12	ENST00000443616	
WARS2-IT1	ENST00000423984	
RBMX2P3	ENST00000450122	
WARS2	ENST00000235521	Wars2
TBX15	ENST00000207157	Tbx15
AL139420.1	ENST00000439394	
AL139420.2	ENST00000449439	
PSMC1P12	ENST00000436509	
AL139148.1	ENST00000427122	
SPAG17	ENST00000336338	Spag17
RNA5SP56	ENST00000410277	
PNRC2P1	ENST00000423940	
GDAP2	ENST00000369443	Gdap2
WDR3	ENST00000349139	Wdr3
AL390877.1	ENST00000390964	
AL390877.2	ENST00000605704	
LINC01525	ENST00000657479	
AL358072.1	ENST00000604156	
MAN1A2	ENST00000356554	Man1a2
VPS25P1	ENST00000455691	
AL157902.1	ENST00000425010	
TENT5C	ENST00000369448	Tent5c
VDAC2P3	ENST00000430995	
VTCN1	ENST00000369458	Vtcn1
RPS15AP9	ENST00000439856	
CD58	ENST00000369489	
NAP1L4P1	ENST00000319092	
MIR548AC	ENST00000585049	
IGSF3	ENST00000369483	Igsf3
MIR320B1	ENST00000390209	
LINC02868	ENST00000624685	
GAPDHP64	ENST00000419696	
NEFHP1	ENST00000412845	
CD2	ENST00000369478	Cd2
FTH1P22	ENST00000456305	
PTGFRN	ENST00000393203	Ptgfrn
RNA5SP55	ENST00000516701	
CD101	ENST00000369470	Cd101
AL445231.1	ENST00000445523	
TTF2	ENST00000369466	Ttf2
MIR942	ENST00000401111	
TRIM45	ENST00000256649	Trim45
LINC01762	ENST00000423907	
AL136376.1	ENST00000449303	
AL390066.1	ENST00000363677	
AL390066.2	ENST00000456414	
ATP1A1	ENST00000295598	Atp1a1
ATP1A1-AS1	ENST00000608511	
RNU6-817P	ENST00000391083	
MAB21L3	ENST00000369500	Mab21l3
LINC01779	ENST00000426515	
AL355538.1	ENST00000408113	
AL365318.1	ENST00000453128	
LINC01649	ENST00000659738	
AL357137.1	ENST00000604645	
SLC22A15	ENST00000369503	Slc22a15
HNRNPA1P43	ENST00000452680	
NHLH2	ENST00000369506	Nhlh2
VANGL1	ENST00000355485	Vangl1
CASQ2	ENST00000261448	Casq2
AL592436.1	ENST00000384771	Gm25945
RN7SL420P	ENST00000463843	
ELOCP20	ENST00000422460	
CNOT7P2	ENST00000441051	
AL592436.2	ENST00000605135	
NGF	ENST00000369512	Ngf
AL512638.1	ENST00000457493	
TSHB	ENST00000256592	Tshb
TSPAN2	ENST00000369516	Tspan2
LINC01765	ENST00000448680	
NGF-AS1	ENST00000425449	
SYCP1	ENST00000369522	Sycp1
SIKE1	ENST00000060969	Sike1
NR1H5P	ENST00000452683	
RNY1P13	ENST00000365030	
CSDE1	ENST00000358528	Csde1
NRAS	ENST00000369535	Nras
RN7SL432P	ENST00000484057	
AMPD1	ENST00000520113	Ampd1
DENND2C	ENST00000393276	Dennd2c
BCAS2	ENST00000369541	Bcas2
PKMP1	ENST00000455804	
Y_RNA	ENST00000364244	
EIF2S2P5	ENST00000457635	
AL035410.1	ENST00000427409	
AL035410.2	ENST00000604963	
TRIM33	ENST00000358465	Trim33
RNU7-70P	ENST00000516941	
MOV10	ENST00000413052	Mov10
AL603832.1	ENST00000421943	
RHOC	ENST00000369642	Rhoc
AL603832.3	ENST00000606505	Rhoc
PPM1J	ENST00000309276	Ppm1j
AL603832.2	ENST00000566195	
TAFA3	ENST00000361886	Tafa3
NUTF2P4	ENST00000458353	
LINC01356	ENST00000401018	
LINC01357	ENST00000456651	
AL390729.1	ENST00000416137	
SLC16A1	ENST00000369626	Slc16a1
AKR7A2P1	ENST00000460134	
SLC16A1-AS1	ENST00000627431	
LRIG2-DT	ENST00000421157	
LRIG2	ENST00000361127	Lrig2
RLIMP2	ENST00000427891	
AL357055.1	ENST00000457967	
AL357055.2	ENST00000412567	
MAGI3	ENST00000369615	Magi3
AL391058.1	ENST00000424736	
MTND5P20	ENST00000448677	
PHTF1	ENST00000369604	Phtf1
AL133517.1	ENST00000413412	
RSBN1	ENST00000261441	Rsbn1
AL137856.1	ENST00000664434	
PTPN22	ENST00000359785	Ptpn22
AP4B1-AS1	ENST00000419536	
BCL2L15	ENST00000393316	Bcl2l15
AP4B1	ENST00000369569	Gm43064
AP4B1	ENST00000369569	Ap4b1
DCLRE1B	ENST00000650450	Dclre1b
HIPK1-AS1	ENST00000670954	
HIPK1	ENST00000426820	Hipk1
OLFML3	ENST00000320334	Olfml3
AL591742.1	ENST00000604433	
SYT6	ENST00000369547	Syt6
AL121999.1	ENST00000420156	
MRPL53P1	ENST00000414323	
CAPZA1	ENST00000263168	Capza1
CAPZA1	ENST00000263168	4933400A11Rik
ST7L	ENST00000358039	St7l
WNT2B	ENST00000369684	Wnt2b
CTTNBP2NL	ENST00000271277	Cttnbp2nl
TXNP3	ENST00000454560	
AL591521.1	ENST00000459350	
LINC02884	ENST00000659549	
PSRC1	ENST00000369909	Psrc1
MYBPHL	ENST00000357155	Mybphl
SORT1	ENST00000256637	Sort1
PSMA5	ENST00000271308	Psma5
SYPL2	ENST00000369872	Sypl2
ATXN7L2	ENST00000369870	Atxn7l2
CYB561D1	ENST00000420578	Cyb561d1
AMIGO1	ENST00000369864	Amigo1
GPR61	ENST00000527748	Gpr61
AL355310.3	ENST00000526411	
GNAI3	ENST00000369851	Gnai3
RNU6V	ENST00000384105	
AL355310.1	ENST00000436416	
GNAT2	ENST00000351050	Gnat2
AMPD2	ENST00000528667	Ampd2
AL355310.2	ENST00000369843	
RPL7P8	ENST00000411964	
GSTM4	ENST00000369836	Gstm4
GSTM2	ENST00000241337	Gstm7
GSTM1	ENST00000309851	Gstm6
GSTM1	ENST00000309851	Gstm2
GSTM1	ENST00000309851	Gstm1
GSTM1	ENST00000309851	Gstm3
AC000032.1	ENST00000562538	
GSTM5	ENST00000256593	
AL158847.1	ENST00000431955	
GSTM3	ENST00000361066	Gstm5
EPS8L3	ENST00000369805	Eps8l3
NDUFA5P10	ENST00000432147	
LINC01768	ENST00000453347	
AL450468.1	ENST00000415166	
AL450468.2	ENST00000565955	
CSF1	ENST00000329608	Csf1
AHCYL1	ENST00000369799	Ahcyl1
STRIP1	ENST00000369795	Strip1
AL160006.1	ENST00000554749	
ALX3	ENST00000647563	Alx3
LINC01397	ENST00000554808	
UBL4B	ENST00000334179	Ubl4b
SLC6A17	ENST00000331565	Slc6a17
AL355990.1	ENST00000443008	
AL355990.2	ENST00000440688	
LINC02586	ENST00000455967	
KCNC4	ENST00000438661	Kcnc4
AL137790.1	ENST00000363666	Gm22435
RBM15-AS1	ENST00000449169	
RBM15	ENST00000369784	Rbm15
LAMTOR5-AS1	ENST00000630298	
SLC16A4	ENST00000369779	Slc16a4
LAMTOR5	ENST00000256644	Lamtor5
PROK1	ENST00000271331	Prok1
AL358215.1	ENST00000481350	
CYMP	ENST00000474680	
CYMP-AS1	ENST00000457402	
KCNA10	ENST00000369771	Kcna10
KCNA2	ENST00000633222	Kcna2
AL365361.1	ENST00000566942	
KCNA3	ENST00000369769	Kcna3
AL354713.1	ENST00000362840	
NRBF2P3	ENST00000432731	
OR11I1P	ENST00000486033	
CD53	ENST00000648608	Cd53
AL360270.2	ENST00000562952	
AL360270.1	ENST00000440689	
LRIF1	ENST00000369763	Lrif1
CCNT2P1	ENST00000423082	
RNA5SP54	ENST00000516951	
DRAM2	ENST00000539140	Dram2
CEPT1	ENST00000545121	Cept1
DENND2D	ENST00000369752	Dennd2d
CHI3L2	ENST00000445067	
CHIAP1	ENST00000456220	
CHIAP2	ENST00000369743	
CHIA	ENST00000369740	Chia1
CHIA	ENST00000369740	Chil3
CHIA	ENST00000369740	Chil5
CHIA	ENST00000369740	Chil6
CHIA	ENST00000369740	Chil4
AL356387.1	ENST00000426321	
AL356387.2	ENST00000422272	
PIFO	ENST00000369738	Pifo
CHIAP3	ENST00000423668	
HIGD1AP12	ENST00000427832	
PGBP	ENST00000436252	
OVGP1	ENST00000369732	Ovgp1
AL390195.2	ENST00000564771	
UBE2FP3	ENST00000436366	
AL390195.1	ENST00000416099	
WDR77	ENST00000235090	Wdr77
Y_RNA	ENST00000363020	
ATP5PB	ENST00000369722	Atp5pb
C1orf162	ENST00000343534	I830077J02Rik
TMIGD3	ENST00000369716	Tmigd3
RNU6-792P	ENST00000363490	Gm24388
RAP1A	ENST00000356415	Rap1a
LINC01160	ENST00000450155	
KRT18P57	ENST00000443599	
RNU6-151P	ENST00000364158	
INKA2	ENST00000357260	Inka2
INKA2-AS1	ENST00000658759	
DDX20	ENST00000369702	Ddx20
KCND3	ENST00000315987	Kcnd3
KCND3-IT1	ENST00000439736	
KCND3-AS1	ENST00000427471	
LINC01750	ENST00000438293	
CELSR2	ENST00000271332	Celsr2
SARS1	ENST00000234677	Sars
ELAPOR1	ENST00000369939	5330417C22Rik
C1orf194	ENST00000369949	1700013F07Rik
TAF13	ENST00000338366	Taf13
TMEM167B	ENST00000338272	Tmem167b
AL356488.2	ENST00000602755	
AL356488.1	ENST00000429752	
STXBP3	ENST00000370008	Stxbp3
AL591719.1	ENST00000444669	
AKNAD1	ENST00000370001	Aknad1
SPATA42	ENST00000369989	
GPSM2	ENST00000406462	Gpsm2
CLCC1	ENST00000369970	Clcc1
WDR47	ENST00000369965	Wdr47
BX679664.2	ENST00000439282	
BX679664.3	ENST00000414070	
BX679664.1	ENST00000434429	
RANP5	ENST00000427731	
FTLP17	ENST00000432567	
CDK4P1	ENST00000454213	
LINC01676	ENST00000595309	
SEPTIN2P1	ENST00000419651	
AL512844.2	ENST00000433990	
AL512844.1	ENST00000415279	
LINC01677	ENST00000417385	
AL355306.2	ENST00000634380	
AL355306.1	ENST00000415580	
AL499605.1	ENST00000604628	
AL596327.1	ENST00000603629	
MTATP6P14	ENST00000455189	
MTCO1P14	ENST00000441695	
LINC01661	ENST00000659929	
PRMT6	ENST00000370078	Prmt6
NTNG1	ENST00000370073	Ntng1
AC114491.1	ENST00000416095	
VAV3	ENST00000370056	Vav3
VAV3-AS1	ENST00000438318	
LINC02785	ENST00000634635	
SLC25A24	ENST00000565488	Slc25a24
AL359258.2	ENST00000564063	
NBPF4	ENST00000415641	
AL359258.1	ENST00000438965	
SLC25A24P1	ENST00000411846	
NBPF5P	ENST00000357046	
SLC25A24P2	ENST00000415059	
AL390038.1	ENST00000419814	
NBPF6	ENST00000495380	
ST13P21	ENST00000453250	
AL392088.1	ENST00000428364	
FAM102B	ENST00000370035	Fam102b
HENMT1	ENST00000370032	Henmt1
PRPF38B	ENST00000370022	
FNDC7	ENST00000370017	Fndc7
AL591719.2	ENST00000437400	
AC092506.1	ENST00000634888	
AL136455.1	ENST00000441083	
AMY1C	ENST00000370079	
AMYP1	ENST00000440059	
AC105272.1	ENST00000438604	
AMY1B	ENST00000370080	
SLC30A7	ENST00000370112	Slc30a7
HNRNPA1P68	ENST00000425806	
DPH5	ENST00000370109	Dph5
AC093157.2	ENST00000414686	
AC093157.1	ENST00000659528	
AC093157.3	ENST00000516956	
AC119501.1	ENST00000603646	
AL109741.1	ENST00000432195	
S1PR1	ENST00000305352	S1pr1
AL109741.2	ENST00000455561	
PPIAP7	ENST00000454070	
LINC01307	ENST00000439146	
LINC01709	ENST00000657394	
RNU6-965P	ENST00000516721	
RPSAP19	ENST00000431241	
OLFM3	ENST00000370103	Olfm3
RNU6-352P	ENST00000516908	Gm24842
AL356280.1	ENST00000603614	
DNAJA1P5	ENST00000440278	
AC114485.1	ENST00000447916	
AC099567.1	ENST00000414418	
COL11A1	ENST00000370096	Col11a1
SOD2P1	ENST00000396543	
AC095032.2	ENST00000414923	
AC095032.1	ENST00000662345	
RN7SKP285	ENST00000410137	
RNPC3	ENST00000423855	Rnpc3
AMY2B	ENST00000361355	
ACTG1P4	ENST00000425123	
AMY2A	ENST00000622339	
AMY1A	ENST00000370083	
LINC01349	ENST00000416343	
AC099670.2	ENST00000435130	
VCAM1	ENST00000294728	Vcam1
EXTL2	ENST00000370114	Extl2
AC099670.1	ENST00000455141	
AL589990.1	ENST00000432210	
GPR88	ENST00000315033	Gpr88
CDC14A	ENST00000361544	Cdc14a
BCAS2P2	ENST00000425064	
AC104457.2	ENST00000446055	
MIR553	ENST00000385017	
AC104457.1	ENST00000401024	
RTCA	ENST00000370128	Rtca
RTCA-AS1	ENST00000650038	
AL445928.1	ENST00000435545	
BRI3P1	ENST00000440440	
RPL23AP90	ENST00000603820	
DBT	ENST00000370132	Dbt
LRRC39	ENST00000342895	Lrrc39
TRMT13	ENST00000370141	Trmt13
SASS6	ENST00000287482	Sass6
AC093019.1	ENST00000443135	
RNU6-1318P	ENST00000365389	Gm23641
MFSD14A	ENST00000370152	Mfsd14a
AC093019.2	ENST00000432294	
RNU6-750P	ENST00000390946	Gm24131
SLC35A3	ENST00000533028	Slc35a3
LINC01708	ENST00000634316	
PALMD	ENST00000263174	Palmd
HMGB3P10	ENST00000434734	
FRRS1	ENST00000646001	Frrs1
RNU4-75P	ENST00000364621	
